<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220530,180500,33281.47,33285.97,33270.22,33272.87,177
20220530,181000,33272.47,33279.97,33267.97,33279.97,144
20220530,181500,33280.72,33281.47,33259.07,33262.97,229
20220530,182000,33263.47,33291.80,33260.30,33288.97,164
20220530,182500,33288.22,33316.97,33288.22,33313.97,242
20220530,183000,33313.87,33335.80,33310.97,33317.13,283
20220530,183500,33316.22,33336.13,33315.97,33334.47,242
20220530,184000,33334.18,33334.72,33324.30,33327.87,238
20220530,184500,33327.97,33338.63,33324.27,33326.27,174
20220530,185000,33326.13,33326.18,33310.32,33317.47,177
20220530,185500,33316.97,33324.80,33315.07,33317.30,151
20220530,190000,33318.87,33323.07,33296.80,33297.13,168
20220530,190500,33297.47,33309.72,33296.97,33308.22,131
20220530,191000,33306.97,33321.67,33304.80,33316.47,165
20220530,191500,33316.22,33330.13,33313.80,33329.80,150
20220530,192000,33331.47,33340.72,33328.47,33333.80,147
20220530,192500,33333.67,33347.92,33323.87,33344.80,223
20220530,193000,33343.97,33355.22,33321.22,33321.72,279
20220530,193500,33322.72,33345.97,33309.30,33313.30,264
20220530,194000,33313.97,33327.97,33307.30,33323.47,272
20220530,194500,33323.30,33340.75,33290.30,33290.30,182
20220530,195000,33288.30,33307.97,33274.18,33306.97,71
20220530,195500,33296.30,33301.07,33270.30,33299.30,47
20220531,010000,33282.90,33282.90,33260.77,33264.90,209
20220531,010500,33264.77,33264.77,33248.13,33259.27,239
20220531,011000,33259.55,33259.90,33238.77,33244.77,204
20220531,011500,33243.90,33251.90,33242.90,33242.90,121
20220531,012000,33243.77,33248.77,33237.27,33237.27,132
20220531,012500,33237.90,33238.27,33198.90,33202.90,256
20220531,013000,33201.27,33205.77,33180.52,33188.90,249
20220531,013500,33189.67,33206.90,33187.77,33204.77,202
20220531,014000,33204.27,33209.47,33198.87,33198.93,131
20220531,014500,33198.27,33201.70,33195.87,33200.87,93
20220531,015000,33201.02,33203.27,33194.77,33203.27,101
20220531,015500,33202.87,33223.27,33202.87,33217.02,127
20220531,020000,33217.18,33255.52,33214.87,33255.02,218
20220531,020500,33254.67,33258.27,33244.27,33247.65,141
20220531,021000,33247.52,33251.27,33242.77,33250.77,97
20220531,021500,33250.27,33251.07,33243.27,33245.84,76
20220531,022000,33245.27,33257.89,33243.07,33246.77,180
20220531,022500,33247.02,33251.27,33240.60,33248.27,135
20220531,023000,33248.77,33254.77,33233.87,33236.27,129
20220531,023500,33236.77,33240.27,33211.67,33214.52,237
20220531,024000,33214.02,33232.07,33214.02,33224.90,153
20220531,024500,33225.27,33237.87,33220.90,33233.98,196
20220531,025000,33233.77,33247.77,33230.90,33243.77,186
20220531,025500,33243.87,33287.60,33243.87,33273.87,383
20220531,030000,33273.14,33290.04,33265.39,33281.90,522
20220531,030500,33281.64,33285.90,33266.24,33276.97,333
20220531,031000,33276.89,33279.51,33267.64,33269.44,316
20220531,031500,33269.14,33272.90,33247.50,33247.50,242
20220531,032000,33248.14,33252.64,33224.97,33228.97,363
20220531,032500,33231.24,33231.24,33213.97,33216.90,357
20220531,033000,33216.64,33220.04,33176.04,33183.92,557
20220531,033500,33184.89,33192.37,33176.14,33180.64,312
20220531,034000,33180.90,33198.46,33178.64,33192.39,313
20220531,034500,33192.64,33199.42,33163.64,33166.64,465
