<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
BCHUSDT,d,20210529,000000,688.7500,721.2500,617.5700,651.9600,197313.51574,651.9600,5718
BCHUSDT,d,20210530,000000,652.0000,688.6100,616.0400,661.6600,138072.20393,661.6600,5718
BCHUSDT,d,20210531,000000,661.4100,711.4000,634.3400,702.4600,173886.93112,702.4600,5718
BCHUSDT,d,20210601,000000,702.4700,721.3300,668.1300,691.1300,161829.1859,691.1300,5718
BCHUSDT,d,20210602,000000,691.0700,716.4400,674.5900,697.3600,120872.00835,697.3600,5718
BCHUSDT,d,20210603,000000,697.6800,735.5300,687.4300,718.9100,133112.04059,718.9100,5718
BCHUSDT,d,20210604,000000,718.9800,720.0000,642.6700,670.5200,138793.5841,670.5200,5718
BCHUSDT,d,20210605,000000,670.5700,688.9300,634.1300,649.3100,110720.05945,649.3100,5718
BCHUSDT,d,20210606,000000,649.0400,670.0000,644.5700,656.1000,63516.71238,656.1000,5718
BCHUSDT,d,20210607,000000,656.1700,670.6300,590.4700,596.4500,108223.56663,596.4500,5718
BCHUSDT,d,20210608,000000,596.3000,604.8900,542.6300,595.3100,213866.11326,595.3100,5718
BCHUSDT,d,20210609,000000,595.3100,634.6300,566.1100,634.0000,154574.44857,634.0000,5718
BCHUSDT,d,20210610,000000,633.9900,639.2000,588.1900,601.1100,117895.94848,601.1100,5718
BCHUSDT,d,20210611,000000,601.6100,611.6000,569.4300,577.0400,101686.78286,577.0400,5718
BCHUSDT,d,20210612,000000,577.1900,591.8400,547.1800,580.0000,96151.23981,580.0000,5718
BCHUSDT,d,20210613,000000,580.0600,615.4900,558.6100,613.4600,82082.3743,613.460,5718
BCHUSDT,d,20210614,000000,613.4100,642.0000,598.9400,641.5000,104342.50766,641.5000,5718
BCHUSDT,d,20210615,000000,641.2900,650.3500,616.4300,627.1700,90740.18982,627.170,5718
BCHUSDT,d,20210616,000000,627.1600,628.1700,589.5800,593.7300,84039.84142,593.730,5718
BCHUSDT,d,20210617,000000,593.7000,621.0000,583.6600,598.9500,72418.19694,598.9500,5718
BCHUSDT,d,20210618,000000,599.0100,599.4800,544.6900,563.2100,91446.32394,563.2100,5718
BCHUSDT,d,20210619,000000,563.2700,581.5900,551.3300,552.1200,59695.93864,552.120,5718
BCHUSDT,d,20210620,000000,552.0400,560.8600,513.3600,556.1600,95965.81875,556.1600,5718
BCHUSDT,d,20210621,000000,556.1000,559.8800,454.1300,455.4000,226905.28222,455.400,5718
BCHUSDT,d,20210622,000000,455.2200,478.7600,387.6100,444.0600,331912.80577,444.0600,5718
BCHUSDT,d,20210623,000000,444.2400,485.9000,428.0000,472.7900,172528.56467,472.790,5718
BCHUSDT,d,20210624,000000,472.9900,495.8200,455.2400,486.9600,108182.74342,486.960,5718
BCHUSDT,d,20210625,000000,486.9700,497.5500,449.1800,449.2200,130475.41084,449.2200,5718
BCHUSDT,d,20210626,000000,449.2300,464.4900,428.4300,459.5800,122490.90442,459.5800,5718
BCHUSDT,d,20210627,000000,459.5600,478.3100,446.3500,477.7900,76419.45428,477.7900,5718
BCHUSDT,d,20210628,000000,477.7600,518.8000,472.3100,501.8300,118530.62635,501.8300,5718
BCHUSDT,d,20210629,000000,501.6200,546.8300,499.8900,524.0100,151297.81941,524.0100,5718
BCHUSDT,d,20210630,000000,524.2600,534.3300,498.1400,526.8000,110061.5491,526.8000,5718
BCHUSDT,d,20210701,000000,526.8000,526.8100,485.4600,495.7900,114834.02249,495.7900,5718
