<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200505,000000,1.09025,1.09253,1.08254,1.08363,112855
20200506,000000,1.08379,1.08470,1.07815,1.07920,106133
20200507,000000,1.07914,1.08335,1.07660,1.08310,119282
20200508,000000,1.08329,1.08751,1.08146,1.08379,92810
20200511,000000,1.08254,1.08500,1.07997,1.08060,102079
20200512,000000,1.08060,1.08846,1.07838,1.08464,113689
20200513,000000,1.08464,1.08960,1.08111,1.08175,129617
20200514,000000,1.08175,1.08235,1.07743,1.08038,116312
20200515,000000,1.08036,1.08508,1.07884,1.08180,111282
20200518,000000,1.08068,1.09265,1.07992,1.09151,107711
20200519,000000,1.09154,1.09756,1.09017,1.09217,111440
20200520,000000,1.09211,1.09986,1.09182,1.09771,101701
20200521,000000,1.09769,1.10080,1.09367,1.09478,103862
20200522,000000,1.09466,1.09533,1.08849,1.09019,93508
20200525,000000,1.08931,1.09140,1.08699,1.08946,58570
20200526,000000,1.08940,1.09953,1.08907,1.09811,106774
20200527,000000,1.09811,1.10304,1.09334,1.10078,160738
20200528,000000,1.10020,1.10930,1.09913,1.10759,144339
20200529,000000,1.10766,1.11447,1.10675,1.11072,169053
20200601,000000,1.11146,1.11535,1.11000,1.11342,131112
20200602,000000,1.11352,1.11956,1.11147,1.11687,147570
20200603,000000,1.11686,1.12572,1.11662,1.12326,162203
20200604,000000,1.12325,1.13621,1.11941,1.13377,176497
20200605,000000,1.13363,1.13833,1.12776,1.12868,167268
20200608,000000,1.12926,1.13193,1.12677,1.12933,134996
20200609,000000,1.12937,1.13632,1.12405,1.13389,155668
20200610,000000,1.13389,1.14220,1.13209,1.13717,177593
20200611,000000,1.13707,1.14031,1.12882,1.12985,218421
20200612,000000,1.12984,1.13401,1.12120,1.12602,201519
20200615,000000,1.12324,1.13321,1.12260,1.13222,211680
20200616,000000,1.13221,1.13528,1.12276,1.12624,185800
20200617,000000,1.12622,1.12934,1.12069,1.12424,170550
20200618,000000,1.12402,1.12609,1.11852,1.12047,156238
20200619,000000,1.12052,1.12538,1.11678,1.11761,155890
20200622,000000,1.11827,1.12694,1.11681,1.12596,124308
20200623,000000,1.12583,1.13481,1.12326,1.13068,166857
20200624,000000,1.13063,1.13253,1.12479,1.12497,150384
20200625,000000,1.12499,1.12592,1.11899,1.12168,163810
20200626,000000,1.12166,1.12389,1.11948,1.12174,119647
20200629,000000,1.12156,1.12873,1.12152,1.12407,121403
20200630,000000,1.12405,1.12614,1.11904,1.12326,134672
20200701,000000,1.12327,1.12747,1.11847,1.12501,135634
20200702,000000,1.12499,1.13022,1.12229,1.12386,130986
20200703,000000,1.12385,1.12506,1.12188,1.12447,106383
20200706,000000,1.12403,1.13449,1.12403,1.13086,117678
20200707,000000,1.13085,1.13321,1.12583,1.12726,127544
20200708,000000,1.12725,1.13514,1.12618,1.13290,122859
20200709,000000,1.13291,1.13700,1.12797,1.12840,140834
20200710,000000,1.12835,1.13242,1.12545,1.12961,113488
20200713,000000,1.13024,1.13744,1.13004,1.13427,122319
20200714,000000,1.13433,1.14083,1.13247,1.13990,145779
20200715,000000,1.13984,1.14515,1.13904,1.14110,132785
20200716,000000,1.14112,1.14413,1.13700,1.13830,134907
20200717,000000,1.13831,1.14431,1.13727,1.14252,102937
20200720,000000,1.14150,1.14672,1.14019,1.14467,127890
20200721,000000,1.14471,1.15393,1.14226,1.15261,135994
20200722,000000,1.15259,1.16011,1.15067,1.15691,159901
20200723,000000,1.15663,1.16263,1.15398,1.15955,152184
20200724,000000,1.15927,1.16575,1.15807,1.16547,151071
20200727,000000,1.16421,1.17809,1.16411,1.17507,160263
20200728,000000,1.17511,1.17732,1.16982,1.17148,160404
20200729,000000,1.17140,1.18062,1.17104,1.17908,152373
20200730,000000,1.17911,1.18478,1.17306,1.18464,165800
20200731,000000,1.18467,1.19085,1.17615,1.17711,195377
20200803,000000,1.17712,1.17963,1.16954,1.17615,146164
20200804,000000,1.17615,1.18057,1.17209,1.18018,144777
20200805,000000,1.18019,1.19044,1.17924,1.18624,140140
20200806,000000,1.18623,1.19154,1.18176,1.18758,166388
20200807,000000,1.18757,1.18826,1.17550,1.17848,166929
20200810,000000,1.17872,1.18002,1.17354,1.17371,114789
20200811,000000,1.17371,1.18074,1.17215,1.17392,155771
20200812,000000,1.17388,1.18156,1.17106,1.17832,154375
20200813,000000,1.17836,1.18637,1.17773,1.18126,138388
20200814,000000,1.18124,1.18499,1.17812,1.18409,120493
20200817,000000,1.18382,1.18804,1.18284,1.18689,109252
20200818,000000,1.18694,1.19651,1.18635,1.19308,135600
20200819,000000,1.19308,1.19522,1.18298,1.18361,147356
20200820,000000,1.18359,1.18682,1.18017,1.18600,157210
20200821,000000,1.18600,1.18824,1.17535,1.17958,143418
20200824,000000,1.17889,1.18490,1.17837,1.17869,117785
20200825,000000,1.17870,1.18434,1.17837,1.18339,132159
20200826,000000,1.18337,1.18388,1.17721,1.18293,125387
20200827,000000,1.18291,1.19007,1.17621,1.18207,187806
20200828,000000,1.18204,1.19192,1.18106,1.19049,169048
20200831,000000,1.18986,1.19656,1.18835,1.19356,141300
20200901,000000,1.19353,1.20109,1.19009,1.19108,171261
20200902,000000,1.19111,1.19283,1.18218,1.18543,158611
20200903,000000,1.18541,1.18641,1.17885,1.18509,166662
20200904,000000,1.18510,1.18648,1.17803,1.18389,174038
20200907,000000,1.18450,1.18482,1.18106,1.18114,90186
20200908,000000,1.18122,1.18271,1.17649,1.17736,166510
20200909,000000,1.17736,1.18334,1.17523,1.18022,143936
20200910,000000,1.18023,1.19172,1.17979,1.18141,170433
20200911,000000,1.18139,1.18736,1.18095,1.18452,124919
20200914,000000,1.18333,1.18874,1.18314,1.18627,105709
20200915,000000,1.18624,1.18999,1.18391,1.18456,114707
20200916,000000,1.18455,1.18820,1.17873,1.18150,148748
20200917,000000,1.18153,1.18519,1.17368,1.18475,156349
20200918,000000,1.18475,1.18700,1.18257,1.18409,124264
20200921,000000,1.18401,1.18713,1.17311,1.17699,154556
20200922,000000,1.17706,1.17731,1.16911,1.17072,156599
20200923,000000,1.17072,1.17185,1.16507,1.16599,151891
20200924,000000,1.16786,1.16864,1.16260,1.16692,140655
20200925,000000,1.16685,1.16845,1.16117,1.16295,133452
20200928,000000,1.16244,1.16795,1.16146,1.16633,120768
20200929,000000,1.16616,1.17450,1.16605,1.17417,120478
20200930,000000,1.17421,1.17545,1.16838,1.17186,161621
20201001,000000,1.17185,1.17691,1.17162,1.17447,152236
20201002,000000,1.17393,1.17472,1.16954,1.17161,165860
20201005,000000,1.17123,1.17971,1.17055,1.17805,106721
20201006,000000,1.17814,1.18072,1.17313,1.17329,135061
20201007,000000,1.17324,1.17814,1.17245,1.17597,119670
20201008,000000,1.17595,1.17812,1.17324,1.17573,99857
20201009,000000,1.17565,1.18303,1.17520,1.18287,106377
20201012,000000,1.18085,1.18263,1.17863,1.18099,90085
20201013,000000,1.18097,1.18153,1.17300,1.17425,108027
20201014,000000,1.17427,1.17705,1.17196,1.17443,106945
20201015,000000,1.17445,1.17573,1.16881,1.17066,118696
20201016,000000,1.17068,1.17456,1.16934,1.17154,110847
20201019,000000,1.17193,1.17931,1.17027,1.17686,103902
20201020,000000,1.17688,1.18401,1.17595,1.18208,105665
20201021,000000,1.18208,1.18802,1.18198,1.18567,120261
