<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
Bimeh,d,20210317,000000,61409.5700,61409.5700,61304.7600,61310.6400,140465321,61310.6400,5718
Bimeh,d,20210327,000000,61444.7200,62622.6100,61444.7200,62643.4100,144553087,62643.4100,5718
Bimeh,d,20210328,000000,63115.8300,63277.0100,62662.6500,62643.4400,103881456,62643.4400,5718
Bimeh,d,20210330,000000,62551.5100,62551.5100,62087.2100,62055.6900,43736836,62055.6900,5718
Bimeh,d,20210331,000000,61942.7800,61942.7800,61535.3900,61538.3000,46577182,61538.3000,5718
Bimeh,d,20210403,000000,61423.7400,61423.7400,61170.3100,61193.9100,51126671,61193.9100,5718
Bimeh,d,20210404,000000,61062.0700,61062.0700,60872.1900,60877.9700,29793356,60877.970,5718
Bimeh,d,20210405,000000,60828.9500,60828.9500,60333.6700,60308.5000,58573982,60308.5000,5718
Bimeh,d,20210406,000000,60105.2500,60105.2500,59684.4800,59818.9200,73029423,59818.920,5718
Bimeh,d,20210407,000000,59782.6300,59782.6300,59565.4000,59566.4000,37588687,59566.400,5718
Bimeh,d,20210410,000000,59470.4200,59470.4200,59135.0500,59159.8800,34060654,59159.8800,5718
Bimeh,d,20210411,000000,59102.7300,59102.7300,58961.1900,58974.2500,12594331,58974.2500,5718
Bimeh,d,20210412,000000,58856.7600,58856.7600,58526.1300,58561.9400,26498827,58561.940,5718
Bimeh,d,20210413,000000,58530.7400,58530.7400,58225.5600,58207.9300,66257867,58207.9300,5718
Bimeh,d,20210414,000000,58153.1800,58153.1800,57851.8900,57846.4800,18794424,57846.480,5718
Bimeh,d,20210417,000000,57816.5400,57816.5400,57771.6900,57789.4900,3487939,57789.4900,5718
Bimeh,d,20210418,000000,57785.1700,57785.1700,57770.9800,57776.5000,889271,57776.500,5718
Bimeh,d,20210419,000000,57774.9400,57774.9400,57754.0700,57778.1400,1650039,57778.140,5718
Bimeh,d,20210420,000000,57764.9800,57769.2800,57576.9000,57578.1000,15916450,57578.1000,5718
Bimeh,d,20210421,000000,57565.0900,57565.0900,57475.8300,57479.7700,3465586,57479.7700,5718
Bimeh,d,20210424,000000,57441.2500,57441.2500,57411.7900,57415.4100,2240136,57415.4100,5718
Bimeh,d,20210425,000000,57407.9100,57407.9100,57383.8300,57382.5500,1346960,57382.5500,5718
Bimeh,d,20210426,000000,57377.7500,57377.7500,57125.3900,57161.5500,12235250,57161.5500,5718
Bimeh,d,20210427,000000,57039.2700,57039.2700,56526.9900,56519.6600,45367797,56519.6600,5718
Bimeh,d,20210428,000000,56440.8100,56444.0500,56313.9500,56455.3200,71818401,56455.3200,5718
Bimeh,d,20210501,000000,56490.5200,56492.4800,56216.4700,56237.1700,53316710,56237.1700,5718
Bimeh,d,20210502,000000,56182.4700,56182.4700,55887.9200,55889.1300,21705373,55889.1300,5718
Bimeh,d,20210503,000000,55830.9600,55830.9600,55472.4700,55473.8500,27136551,55473.8500,5718
Bimeh,d,20210505,000000,55422.2500,55422.2500,55128.2400,55126.6600,24432889,55126.6600,5718
Bimeh,d,20210508,000000,55096.8000,55110.2200,54938.1600,54926.3800,35029549,54926.3800,5718
Bimeh,d,20210509,000000,54900.0700,54900.0700,54634.0600,54636.6700,31866693,54636.6700,5718
Bimeh,d,20210510,000000,54630.3900,54648.6000,54404.8300,54611.6300,82966121,54611.6300,5718
Bimeh,d,20210511,000000,55088.9700,55242.2900,54997.0800,55138.1900,70585931,55138.1900,5718
Bimeh,d,20210512,000000,55795.9200,55795.9200,55508.6600,55517.5600,102588730,55517.5600,5718
Bimeh,d,20210515,000000,55201.1600,55251.8800,55129.9100,55131.5800,45540529,55131.5800,5718
Bimeh,d,20210516,000000,55190.5000,55328.2100,55171.4700,55231.8500,64011908,55231.8500,5718
Bimeh,d,20210517,000000,55232.1100,55232.1100,54702.2600,54710.5000,51151951,54710.5000,5718
Bimeh,d,20210518,000000,54440.7400,54495.4200,54160.8700,54196.1300,52610715,54196.1300,5718
Bimeh,d,20210519,000000,54216.9700,54216.9700,52941.3100,52952.4900,55595070,52952.490,5718
Bimeh,d,20210522,000000,52555.2100,52555.2100,51424.2100,51418.5300,72565820,51418.5300,5718
Bimeh,d,20210523,000000,51127.6400,51127.6400,50521.2200,50517.4300,51260199,50517.430,5718
Bimeh,d,20210524,000000,50473.0000,50506.0200,50254.0600,50259.7000,31880312,50259.700,5718
Bimeh,d,20210525,000000,50289.7500,50653.3300,50236.8900,50654.8500,47483294,50654.8500,5718
Bimeh,d,20210526,000000,50729.5800,51307.9600,50729.5800,51306.5900,27716800,51306.5900,5718
Bimeh,d,20210529,000000,51951.6900,52392.4200,51951.6900,52240.5900,113758297,52240.590,5718
Bimeh,d,20210530,000000,53415.4100,53481.5100,53121.3400,53127.7600,123929101,53127.7600,5718
Bimeh,d,20210531,000000,52824.2100,52824.2100,52099.3200,52189.6400,65498162,52189.640,5718
Bimeh,d,20210601,000000,52189.5200,52197.6100,51575.6600,51578.8800,47994413,51578.8800,5718
Bimeh,d,20210602,000000,51652.7300,52914.3900,51652.7300,52905.2400,61217527,52905.240,5718
Bimeh,d,20210607,000000,53530.7600,54072.5400,53530.7600,54070.0400,101898294,54070.040,5718
Bimeh,d,20210608,000000,54829.7300,55309.0600,54829.7300,55168.7200,105387115,55168.7200,5718
Bimeh,d,20210609,000000,54835.0600,54835.0600,54257.9100,54253.0700,52375463,54253.0700,5718
Bimeh,d,20210612,000000,54241.8900,54372.9600,53546.6800,53542.7900,55293640,53542.7900,5718
Bimeh,d,20210613,000000,53469.3100,53469.3100,52637.6700,52635.5800,39909080,52635.5800,5718
Bimeh,d,20210614,000000,52555.0000,52617.2500,52022.3900,52031.6600,78183091,52031.6600,5718
