<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
BTCUSDT,d,20220528,000000,28629.8100,29266.0000,28450.0000,29031.3400,34479.31502,29031.3400,5718
BTCUSDT,d,20220529,000000,29031.3300,29587.7800,28839.2100,29468.1100,27567.29956,29468.1100,5718
BTCUSDT,d,20220530,000000,29468.1000,32222.0000,29299.6200,31734.2200,96785.78595,31734.220,5718
BTCUSDT,d,20220531,000000,31734.2300,32399.0000,31200.0100,31801.0400,62433.05811,31801.0400,5718
BTCUSDT,d,20220601,000000,31801.0500,31982.9700,29301.0000,29800.5800,103393.90098,29800.580,5718
BTCUSDT,d,20220602,000000,29805.8400,30689.0000,29594.5500,30452.6300,56961.12755,30452.630,5718
BTCUSDT,d,20220603,000000,30452.6300,30699.0000,29282.3600,29700.2200,54067.40922,29700.2200,5718
BTCUSDT,d,20220604,000000,29700.2100,29988.8800,29485.0000,29864.0400,25617.23836,29864.0400,5718
BTCUSDT,d,20220605,000000,29864.0300,30189.0000,29531.4200,29919.2000,23139.89149,29919.200,5718
BTCUSDT,d,20220606,000000,29919.2000,31765.6400,29890.2300,31373.0900,68836.85447,31373.0900,5718
BTCUSDT,d,20220607,000000,31373.1000,31589.6000,29218.9600,31121.7200,110673.81212,31121.720,5718
BTCUSDT,d,20220608,000000,31125.3200,31327.2200,29843.8800,30204.7700,68542.58372,30204.7700,5718
BTCUSDT,d,20220609,000000,30204.7700,30700.0000,29944.1000,30109.9200,46291.16374,30109.920,5718
BTCUSDT,d,20220610,000000,30109.9300,30382.8000,28850.0000,29091.6900,76204.12006,29091.690,5718
BTCUSDT,d,20220611,000000,29091.8700,29440.4100,28099.9900,28422.9500,65901.30184,28422.9500,5718
BTCUSDT,d,20220612,000000,28424.7100,28544.9600,26560.0000,26585.3300,92465.779519,26585.3300,5718
BTCUSDT,d,20220613,000000,26574.5300,26895.8400,21925.7700,22487.8300,254610.089796,22487.8300,5718
BTCUSDT,d,20220614,000000,22485.2700,23362.8800,20846.0000,22140.9300,187201.36537,22140.9300,5718
